date,price,positive,neutral,negative,polarity,polarity_lag1
2025-06-25,1.0025341392375046e-05,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.0002289377289377324,
2025-06-26,9.46411755877633e-06,0.6,0.4,0.0,0.14666666666666667,0.0002289377289377324
2025-06-27,9.13495576209457e-06,0.4,0.6,0.0,0.09284722222222222,0.14666666666666667
2025-06-28,9.172258810289922e-06,0.125,0.875,0.0,0.020833333333333332,0.09284722222222222
2025-06-29,9.555444766859263e-06,0.0,1.0,0.0,0.01,0.020833333333333332
2025-06-30,1.0412689646318546e-05,0.3333333333333333,0.5,0.16666666666666666,0.06746031746031746,0.01
2025-07-01,9.738286021872769e-06,0.8,0.0,0.2,0.38416666666666666,0.06746031746031746
2025-07-02,9.24106421549501e-06,0.42857142857142855,0.5714285714285714,0.0,0.16547619047619047,0.38416666666666666
2025-07-03,1.0066690321856315e-05,0.5,0.3333333333333333,0.16666666666666666,0.10277777777777779,0.16547619047619047
2025-07-04,1.0116286990650777e-05,0.0,1.0,0.0,-0.004999999999999999,0.10277777777777779
2025-07-05,9.643063133346442e-06,0.0,0.6,0.4,-0.14227272727272727,-0.004999999999999999
2025-07-06,9.70332457136702e-06,0.2,0.8,0.0,0.05083333333333333,-0.14227272727272727
2025-07-07,1.003742063353663e-05,0.0,1.0,0.0,0.0,0.05083333333333333
2025-07-08,9.89489107795835e-06,0.2727272727272727,0.7272727272727273,0.0,0.15227272727272728,0.0
2025-07-09,1.0204910486434256e-05,0.0,0.8,0.2,-0.0325,0.15227272727272728
2025-07-10,1.1099197737267829e-05,0.5555555555555556,0.4444444444444444,0.0,0.17037037037037037,-0.0325
2025-07-11,1.2321213382618156e-05,0.5714285714285714,0.14285714285714285,0.2857142857142857,-0.07208565244279531,0.17037037037037037
2025-07-12,1.2377962289343682e-05,0.0,1.0,0.0,-0.0047619047619047615,-0.07208565244279531
2025-07-13,1.2174852752712864e-05,0.4,0.6,0.0,0.13514069264069264,-0.0047619047619047615
2025-07-14,1.2287639887351017e-05,0.3333333333333333,0.6666666666666666,0.0,0.0787037037037037,0.13514069264069264
2025-07-15,1.221323224108089e-05,0.125,0.875,0.0,0.04090909090909091,0.0787037037037037
2025-07-16,1.286557404169392e-05,0.5,0.5,0.0,0.1625,0.04090909090909091
2025-07-17,1.358276706070149e-05,0.2857142857142857,0.7142857142857143,0.0,0.05357142857142857,0.1625
2025-07-18,1.3583449641454114e-05,0.0,1.0,0.0,0.02619047619047619,0.05357142857142857
2025-07-19,1.2940026948022322e-05,0.25,0.75,0.0,0.041666666666666664,0.02619047619047619
2025-07-20,1.3444705478351476e-05,0.2,0.8,0.0,0.059119769119769114,0.041666666666666664
2025-07-21,1.4066572618701208e-05,0.6666666666666666,0.3333333333333333,0.0,0.17575757575757575,0.059119769119769114
2025-07-22,1.4183293526603185e-05,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.012878787878787878,0.17575757575757575
2025-07-23,1.4108985373831371e-05,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.011111111111111108,0.012878787878787878
2025-07-24,1.2740017828466297e-05,0.16666666666666666,0.6666666666666666,0.16666666666666666,-0.02433862433862434,-0.011111111111111108
